form	wsafter	anas	lemma	xpostag
harmonizálására	" "	[{"lemma": "harmonizálás", "tag": "[/N][Poss.3Sg][Subl]", "morphana": "harmonizál[/V]=harmonizál+ás[_Ger/N]=ás+a[Poss.3Sg]=á+ra[Subl]=ra", "readable": "harmonizál[/V] + ás[_Ger/N] + a[Poss.3Sg]=á + ra[Subl]", "twolevel": "h:h a:a r:r m:m o:o n:n i:i z:z á:á l:l :[/V] á:á s:s :[_Ger/N] á:a :[Poss.3Sg] r:r a:a :[Subl]"}, {"lemma": "harmonizálásár", "tag": "[/N][Poss.3Sg][Nom]", "morphana": "harmonizál[/V]=harmonizál+ás[_Ger/N]=ás+ár[/N]=ár+a[Poss.3Sg]=a+[Nom]=", "readable": "harmonizál[/V] + ás[_Ger/N] + ár[/N] + a[Poss.3Sg] + [Nom]", "twolevel": "h:h a:a r:r m:m o:o n:n i:i z:z á:á l:l :[/V] á:á s:s :[_Ger/N] á:á r:r :[/N] a:a :[Poss.3Sg] :[Nom]"}]	harmonizálás	[/N][Poss.3Sg][Subl]
törekszik	""	[{"lemma": "törekszik", "tag": "[/V][Prs.Def.3Pl]", "morphana": "törekszik[/V]=töreksz+ik[Prs.Def.3Pl]=ik", "readable": "törekszik[/V]=töreksz + ik[Prs.Def.3Pl]", "twolevel": "t:t ö:ö r:r e:e k:k s:s z:z :i :k :[/V] i:i k:k :[Prs.Def.3Pl]"}, {"lemma": "törekszik", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "törekszik[/V]=töreksz+ik[Prs.NDef.3Sg]=ik", "readable": "törekszik[/V]=töreksz + ik[Prs.NDef.3Sg]", "twolevel": "t:t ö:ö r:r e:e k:k s:s z:z :i :k :[/V] i:i k:k :[Prs.NDef.3Sg]"}]	törekszik	[/V][Prs.NDef.3Sg]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
tanulmányozói	" "	[{"lemma": "tanulmányozó", "tag": "[/Adj][Pl.Poss.3Sg][Nom]", "morphana": "tanulmány[/N]=tanulmány+oz[_NVbz_Tr:z/V]=oz+ó[_ImpfPtcp/Adj]=ó+i[Pl.Poss.3Sg]=i+[Nom]=", "readable": "tanulmány[/N] + oz[_NVbz_Tr:z/V] + ó[_ImpfPtcp/Adj] + i[Pl.Poss.3Sg] + [Nom]", "twolevel": "t:t a:a n:n u:u l:l m:m á:á n:n y:y :[/N] o:o z:z :[_NVbz_Tr:z/V] ó:ó :[_ImpfPtcp/Adj] i:i :[Pl.Poss.3Sg] :[Nom]"}, {"lemma": "tanulmányozói", "tag": "[/Adj][Nom]", "morphana": "tanulmány[/N]=tanulmány+oz[_NVbz_Tr:z/V]=oz+ó[_ImpfPtcp/Adj]=ó+i[_Adjz:i/Adj]=i+[Nom]=", "readable": "tanulmány[/N] + oz[_NVbz_Tr:z/V] + ó[_ImpfPtcp/Adj] + i[_Adjz:i/Adj] + [Nom]", "twolevel": "t:t a:a n:n u:u l:l m:m á:á n:n y:y :[/N] o:o z:z :[_NVbz_Tr:z/V] ó:ó :[_ImpfPtcp/Adj] i:i :[_Adjz:i/Adj] :[Nom]"}, {"lemma": "tanulmányozó", "tag": "[/Adj][Pl.Poss.3Sg][Nom]", "morphana": "tanulmányoz[/V]=tanulmányoz+ó[_ImpfPtcp/Adj]=ó+i[Pl.Poss.3Sg]=i+[Nom]=", "readable": "tanulmányoz[/V] + ó[_ImpfPtcp/Adj] + i[Pl.Poss.3Sg] + [Nom]", "twolevel": "t:t a:a n:n u:u l:l m:m á:á n:n y:y o:o z:z :[/V] ó:ó :[_ImpfPtcp/Adj] i:i :[Pl.Poss.3Sg] :[Nom]"}, {"lemma": "tanulmányozói", "tag": "[/Adj][Nom]", "morphana": "tanulmányoz[/V]=tanulmányoz+ó[_ImpfPtcp/Adj]=ó+i[_Adjz:i/Adj]=i+[Nom]=", "readable": "tanulmányoz[/V] + ó[_ImpfPtcp/Adj] + i[_Adjz:i/Adj] + [Nom]", "twolevel": "t:t a:a n:n u:u l:l m:m á:á n:n y:y o:o z:z :[/V] ó:ó :[_ImpfPtcp/Adj] i:i :[_Adjz:i/Adj] :[Nom]"}]	tanulmányozó	[/Adj][Pl.Poss.3Sg][Nom]
egyénileg	" "	[{"lemma": "egyénileg", "tag": "[/Adv]", "morphana": "egyén[/N]=egyén+ileg[_NAdvz:ilAg/Adv]=ileg", "readable": "egyén[/N] + ileg[_NAdvz:ilAg/Adv]", "twolevel": "e:e g:g y:y é:é n:n :[/N] i:i l:l e:e g:g :[_NAdvz:ilAg/Adv]"}, {"lemma": "egyénileg", "tag": "[/Adv]", "morphana": "egyénileg[/Adv]=egyénileg", "readable": "egyénileg[/Adv]", "twolevel": "e:e g:g y:y é:é n:n i:i l:l e:e g:g :[/Adv]"}]	egyénileg	[/Adv]
is	" "	[{"lemma": "is", "tag": "[/Adv]", "morphana": "is[/Adv]=is", "readable": "is[/Adv]", "twolevel": "i:i s:s :[/Adv]"}]	is	[/Adv]
kivitelezhető	" "	[{"lemma": "kivitelezhető", "tag": "[/Adj][Nom]", "morphana": "ki[/Prev]=ki+vitel[/N]=vitel+ez[_NVbz_Tr:z/V]=ez+hető[_ModPtcp/Adj]=hető+[Nom]=", "readable": "ki[/Prev] + vitel[/N] + ez[_NVbz_Tr:z/V] + hető[_ModPtcp/Adj] + [Nom]", "twolevel": "k:k i:i :[/Prev] v:v i:i t:t e:e l:l :[/N] e:e z:z :[_NVbz_Tr:z/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] :[Nom]"}, {"lemma": "kivitelezhető", "tag": "[/Adj][Nom]", "morphana": "kivi[/N]=kivi+tél[/N]=tel+ez[_NVbz_Tr:z/V]=ez+hető[_ModPtcp/Adj]=hető+[Nom]=", "readable": "kivi[/N] + tél[/N]=tel + ez[_NVbz_Tr:z/V] + hető[_ModPtcp/Adj] + [Nom]", "twolevel": "k:k i:i v:v i:i :[/N] t:t e:é l:l :[/N] e:e z:z :[_NVbz_Tr:z/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] :[Nom]"}, {"lemma": "kivitelezhető", "tag": "[/Adj][Nom]", "morphana": "kivitel[/N]=kivitel+ez[_NVbz_Tr:z/V]=ez+hető[_ModPtcp/Adj]=hető+[Nom]=", "readable": "kivitel[/N] + ez[_NVbz_Tr:z/V] + hető[_ModPtcp/Adj] + [Nom]", "twolevel": "k:k i:i v:v i:i t:t e:e l:l :[/N] e:e z:z :[_NVbz_Tr:z/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] :[Nom]"}, {"lemma": "kivitelezhető", "tag": "[/Adj][Nom]", "morphana": "kivitelez[/V]=kivitelez+hető[_ModPtcp/Adj]=hető+[Nom]=", "readable": "kivitelez[/V] + hető[_ModPtcp/Adj] + [Nom]", "twolevel": "k:k i:i v:v i:i t:t e:e l:l e:e z:z :[/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] :[Nom]"}]	kivitelezhető	[/Adj][Nom]
tanácsokat	""	[{"lemma": "tanács", "tag": "[/N][Pl][Acc]", "morphana": "tan[/N]=tan+ács[/N]=ács+ok[Pl]=ok+at[Acc]=at", "readable": "tan[/N] + ács[/N] + ok[Pl] + at[Acc]", "twolevel": "t:t a:a n:n :[/N] á:á c:c s:s :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}, {"lemma": "tanács", "tag": "[/N][Pl][Acc]", "morphana": "tanács[/N]=tanács+ok[Pl]=ok+at[Acc]=at", "readable": "tanács[/N] + ok[Pl] + at[Acc]", "twolevel": "t:t a:a n:n á:á c:c s:s :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}]	tanács	[/N][Pl][Acc]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
gyógymódokat	" "	[{"lemma": "gyógymód", "tag": "[/N][Pl][Acc]", "morphana": "gyógy[/Adj]=gyógy+mód[/N]=mód+ok[Pl]=ok+at[Acc]=at", "readable": "gyógy[/Adj] + mód[/N] + ok[Pl] + at[Acc]", "twolevel": "g:g y:y ó:ó g:g y:y :[/Adj] m:m ó:ó d:d :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}, {"lemma": "gyógymód", "tag": "[/N][Pl][Acc]", "morphana": "gyógymód[/N]=gyógymód+ok[Pl]=ok+at[Acc]=at", "readable": "gyógymód[/N] + ok[Pl] + at[Acc]", "twolevel": "g:g y:y ó:ó g:g y:y m:m ó:ó d:d :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}]	gyógymód	[/N][Pl][Acc]
ismerhetnek	" "	[{"lemma": "ismer", "tag": "[/V][_Mod/V][Prs.NDef.3Pl]", "morphana": "ismer[/V]=ismer+het[_Mod/V]=het+nek[Prs.NDef.3Pl]=nek", "readable": "ismer[/V] + het[_Mod/V] + nek[Prs.NDef.3Pl]", "twolevel": "i:i s:s m:m e:e r:r :[/V] h:h e:e t:t :[_Mod/V] n:n e:e k:k :[ :P :r :s :. :N :D :e :f :. :3 :P :l :]"}]	ismer	[/V][_Mod/V][Prs.NDef.3Pl]
meg	""	[{"lemma": "meg", "tag": "[/Cnj]", "morphana": "meg[/Cnj]=meg", "readable": "meg[/Cnj]", "twolevel": "m:m e:e g:g :[/Cnj]"}, {"lemma": "meg", "tag": "[/Prev]", "morphana": "meg[/Prev]=meg", "readable": "meg[/Prev]", "twolevel": "m:m e:e g:g :[/Prev]"}]	meg	[/Prev]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
amelyek	" "	[{"lemma": "amely", "tag": "[/N|Pro|Rel][Pl][Nom]", "morphana": "amely[/N|Pro|Rel]=amely+ek[Pl]=ek+[Nom]=", "readable": "amely[/N|Pro|Rel] + ek[Pl] + [Nom]", "twolevel": "a:a m:m e:e l:l y:y :[/N|Pro|Rel] e:e k:k :[Pl] :[Nom]"}]	amely	[/N|Pro|Rel][Pl][Nom]
által	" "	[{"lemma": "által", "tag": "[/Post]", "morphana": "által[/Post]=által", "readable": "által[/Post]", "twolevel": "á:á l:l t:t a:a l:l :[/Post]"}, {"lemma": "által", "tag": "[/Prev]", "morphana": "által[/Prev]=által", "readable": "által[/Prev]", "twolevel": "á:á l:l t:t a:a l:l :[/Prev]"}]	által	[/Post]
életük	" "	[{"lemma": "élet", "tag": "[/N][Poss.3Pl][Nom]", "morphana": "élet[/N]=élet+ük[Poss.3Pl]=ük+[Nom]=", "readable": "élet[/N] + ük[Poss.3Pl] + [Nom]", "twolevel": "é:é l:l e:e t:t :[/N] ü:ü k:k :[Poss.3Pl] :[Nom]"}]	élet	[/N][Poss.3Pl][Nom]
teljesebb	""	[{"lemma": "teljes", "tag": "[/Adj][_Comp/Adj][Nom]", "morphana": "teljes[/Adj]=teljes+ebb[_Comp/Adj]=ebb+[Nom]=", "readable": "teljes[/Adj] + ebb[_Comp/Adj] + [Nom]", "twolevel": "t:t e:e l:l j:j e:e s:s :[/Adj] e:e b:b b:b :[_Comp/Adj] :[Nom]"}]	teljes	[/Adj][_Comp/Adj][Nom]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
boldogabb	" "	[{"lemma": "boldog", "tag": "[/Adj][_Comp/Adj][Nom]", "morphana": "boldog[/Adj]=boldog+abb[_Comp/Adj]=abb+[Nom]=", "readable": "boldog[/Adj] + abb[_Comp/Adj] + [Nom]", "twolevel": "b:b o:o l:l d:d o:o g:g :[/Adj] a:a b:b b:b :[_Comp/Adj] :[Nom]"}]	boldog	[/Adj][_Comp/Adj][Nom]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
harmonikusabb	" "	[{"lemma": "harmonikus", "tag": "[/Adj][_Comp/Adj][Nom]", "morphana": "harmonikus[/Adj]=harmonikus+abb[_Comp/Adj]=abb+[Nom]=", "readable": "harmonikus[/Adj] + abb[_Comp/Adj] + [Nom]", "twolevel": "h:h a:a r:r m:m o:o n:n i:i k:k u:u s:s :[/Adj] a:a b:b b:b :[_Comp/Adj] :[Nom]"}]	harmonikus	[/Adj][_Comp/Adj][Nom]
lesz	""	[{"lemma": "lesz", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "lesz[/V]=lesz+[Prs.NDef.3Sg]=", "readable": "lesz[/V] + [Prs.NDef.3Sg]", "twolevel": "l:l e:e s:s z:z :[/V] :[Prs.NDef.3Sg]"}]	lesz	[/V][Prs.NDef.3Sg]
.	"\n"	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]

# text = Bár időben és kulturálisan távolinak tűnhet ez a gyógyító hagyomány, az ájurvéda ősi könyvei időtlen igazságokat és összefüggéseket mondanak ki, amelyek által mindenki megtalálhatja a belső harmónia és egészség felé vezető utat, saját egyéniségének és életvitelének megfelelően.
Bár	" "	[{"lemma": "Bár", "tag": "[/N][Nom]", "morphana": "Bár[/N]=Bár+[Nom]=", "readable": "Bár[/N] + [Nom]", "twolevel": "B:B á:á r:r :[/N] :[Nom]"}, {"lemma": "bár", "tag": "[/Cnj]", "morphana": "bár[/Cnj]=bár", "readable": "bár[/Cnj]", "twolevel": "b:b á:á r:r :[/Cnj]"}, {"lemma": "bár", "tag": "[/N][Nom]", "morphana": "bár[/N]=bár+[Nom]=", "readable": "bár[/N] + [Nom]", "twolevel": "b:b á:á r:r :[/N] :[Nom]"}]	bár	[/Cnj]
időben	" "	[{"lemma": "idő", "tag": "[/N][Ine]", "morphana": "idő[/N]=idő+ben[Ine]=ben", "readable": "idő[/N] + ben[Ine]", "twolevel": "i:i d:d ő:ő :[/N] b:b e:e n:n :[Ine]"}, {"lemma": "időben", "tag": "[/Adv]", "morphana": "időben[/Adv]=időben", "readable": "időben[/Adv]", "twolevel": "i:i d:d ő:ő b:b e:e n:n :[/Adv]"}]	idő	[/N][Ine]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
kulturálisan	" "	[{"lemma": "kulturális", "tag": "[/Adj][_Manner/Adv]", "morphana": "kulturális[/Adj]=kulturális+an[_Manner/Adv]=an", "readable": "kulturális[/Adj] + an[_Manner/Adv]", "twolevel": "k:k u:u l:l t:t u:u r:r á:á l:l i:i s:s :[/Adj] a:a n:n :[_Manner/Adv]"}]	kulturális	[/Adj][_Manner/Adv]
távolinak	" "	[{"lemma": "távoli", "tag": "[/Adj][Dat]", "morphana": "távol[/Adv]=távol+i[_Adjz:i/Adj]=i+nak[Dat]=nak", "readable": "távol[/Adv] + i[_Adjz:i/Adj] + nak[Dat]", "twolevel": "t:t á:á v:v o:o l:l :[/Adv] i:i :[_Adjz:i/Adj] n:n a:a k:k :[Dat]"}, {"lemma": "távoli", "tag": "[/Adj][Dat]", "morphana": "távol[/N]=távol+i[_Adjz:i/Adj]=i+nak[Dat]=nak", "readable": "távol[/N] + i[_Adjz:i/Adj] + nak[Dat]", "twolevel": "t:t á:á v:v o:o l:l :[/N] i:i :[_Adjz:i/Adj] n:n a:a k:k :[Dat]"}, {"lemma": "távoli", "tag": "[/Adj][Dat]", "morphana": "távol[/Post|(Abl)]=távol+i[_Adjz:i/Adj]=i+nak[Dat]=nak", "readable": "távol[/Post|(Abl)] + i[_Adjz:i/Adj] + nak[Dat]", "twolevel": "t:t á:á v:v o:o l:l :[/Post|(Abl)] i:i :[_Adjz:i/Adj] n:n a:a k:k :[Dat]"}, {"lemma": "távoli", "tag": "[/Adj][Dat]", "morphana": "távoli[/Adj]=távoli+nak[Dat]=nak", "readable": "távoli[/Adj] + nak[Dat]", "twolevel": "t:t á:á v:v o:o l:l i:i :[/Adj] n:n a:a k:k :[Dat]"}]	távoli	[/Adj][Dat]
tűnhet	" "	[{"lemma": "tűnik", "tag": "[/V][_Mod/V][Prs.NDef.3Sg]", "morphana": "tűnik[/V]=tűn+het[_Mod/V]=het+[Prs.NDef.3Sg]=", "readable": "tűnik[/V]=tűn + het[_Mod/V] + [Prs.NDef.3Sg]", "twolevel": "t:t ű:ű n:n :i :k :[/V] h:h e:e t:t :[_Mod/V] :[Prs.NDef.3Sg]"}]	tűnik	[/V][_Mod/V][Prs.NDef.3Sg]
ez	" "	[{"lemma": "ez", "tag": "[/Det|Pro][Nom]", "morphana": "ez[/Det|Pro]=ez+[Nom]=", "readable": "ez[/Det|Pro] + [Nom]", "twolevel": "e:e z:z :[/Det|Pro] :[Nom]"}, {"lemma": "ez", "tag": "[/N|Pro][Nom]", "morphana": "ez[/N|Pro]=ez+[Nom]=", "readable": "ez[/N|Pro] + [Nom]", "twolevel": "e:e z:z :[/N|Pro] :[Nom]"}]	ez	[/Det|Pro][Nom]
